tick,poi_id,visitors,crowd_ratio,name,neighborhood,category
6,26,59,0.36875,Laberint d'Horta,Horta-Guinardo,Nature
6,27,30,0.375,Bunkers del Carmel,Horta-Guinardo,Nature
6,28,103,0.42916666666666664,CosmoCaixa,Horta-Guinardo,Art
6,29,33,0.275,Tibidabo Temple (Sagrat Cor),Horta-Guinardo,Religious
6,30,15,0.3,Casa Vicens,Gracia,Art
6,31,229,0.011524447933651389,Camp Nou Stadium,Les Corts,History
6,32,3,0.01875,FC Barcelona Museum,Les Corts,History
6,33,312,0.624,Mercat de la Boqueria,El Raval,Food
6,34,75,0.3125,Mercat de Sant Antoni,Sant Antoni,Food
6,35,17,0.09444444444444444,Mercat de Santa Caterina,El Born,Food
6,36,51,0.31875,Mercat de la Concepcio,Sant Antoni,Food
6,37,146,0.365,Mercat dels Encants,Poblenou,History
6,38,104,0.065,Barceloneta Beach,La Barceloneta,Nature
6,39,9,0.009,Port Vell (Promenade),Barri Gotic,History
6,40,8,0.03333333333333333,Aquarium Barcelona,Barri Gotic,Nature
6,41,3,0.025,Maritime Museum,Barri Gotic,History
6,42,32,0.16,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
6,43,11,0.11,El Born Cultural Center,El Born,History
6,44,45,0.375,Parc de la Creueta del Coll,Horta-Guinardo,Nature
6,45,28,0.175,Parc de l'Espanya Industrial,Sants,Nature
6,46,158,0.6583333333333333,Parc Central de Nou Barris,Nou Barris,Nature
6,47,106,0.6625,Parc del Turo de la Peira,Nou Barris,Nature
6,48,29,0.3625,Torre Glories Viewpoint,Poblenou,Art
6,49,214,0.3566666666666667,Parc Diagonal Mar,Poblenou,Nature
6,50,261,0.32625,Forum Building / Forum Park,Poblenou,History
7,1,6,0.02,Sagrada Familia,Eixample,Religious
7,2,12,0.08571428571428572,Parc Guell,Gracia,Nature
7,3,18,0.01125,La Rambla,Barri Gotic,History
7,4,13,0.08125,Santa Maria del Mar,El Born,Religious
7,5,1,0.0125,Casa Batllo,Eixample,Art
7,6,0,0.0,Casa Mila (La Pedrera),Eixample,Art
7,7,4,0.009319664492078286,Palau de la Musica Catalana,El Born,Art
7,8,0,0.0,Hospital de Sant Pau,Eixample,History
7,9,17,0.07083333333333333,Barcelona Cathedral,Barri Gotic,Religious
7,10,11,0.09166666666666666,Basilica de Santa Maria del Pi,Barri Gotic,Religious
7,11,17,0.34,Palau Guell,El Raval,Art
7,12,48,0.4,MACBA Museum,El Raval,Art
7,13,34,0.34,CCCB Center,El Raval,Art
7,14,16,0.4,Sant Pau del Camp,El Raval,Religious
7,15,5,0.08333333333333333,Church of Sant Josep Oriol,Barri Gotic,Religious
7,16,8,0.08888888888888889,Picasso Museum,El Born,Art
7,17,10,0.125,Fundacio Joan Miro,Montjuic,Art
